topic_int,topic_names,Source
6,wind turbin,Pro Media
8,wind farm,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
1,offshor wind,Pro Media
7,municip council,Pro Media
0,energi island,Pro Media
5,energiø bornholm,Pro Media
6,wind turbin,Pro Media
7,municip council,Pro Media
0,energi island,Pro Media
8,wind farm,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
6,wind turbin,Pro Media
1,offshor wind,Pro Media
1,offshor wind,Pro Media
6,wind turbin,Pro Media
3,baltic sea,Pro Media
1,offshor wind,Pro Media
8,wind farm,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
6,wind turbin,Pro Media
9,busi park,Pro Media
4,green transit,Pro Media
1,offshor wind,Pro Media
2,social democraci,Pro Media
8,wind farm,Pro Media
7,municip council,Pro Media
5,energiø bornholm,Pro Media
0,energi island,Pro Media
5,energiø bornholm,Pro Media
1,offshor wind,Pro Media
6,wind turbin,Pro Media
5,energiø bornholm,Pro Media
8,wind farm,Pro Media
1,offshor wind,Pro Media
6,wind turbin,Pro Media
5,energiø bornholm,Pro Media
8,wind farm,Pro Media
1,offshor wind,Pro Media
5,energiø bornholm,Pro Media
1,offshor wind,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
6,wind turbin,Pro Media
9,busi park,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
5,energiø bornholm,Pro Media
9,busi park,Pro Media
8,wind farm,Pro Media
3,baltic sea,Pro Media
3,baltic sea,Pro Media
8,wind farm,Pro Media
1,offshor wind,Pro Media
3,baltic sea,Pro Media
8,wind farm,Pro Media
1,offshor wind,Pro Media
5,energiø bornholm,Pro Media
7,municip council,Pro Media
1,offshor wind,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
8,wind farm,Pro Media
8,wind farm,Pro Media
2,social democraci,Pro Media
5,energiø bornholm,Pro Media
6,wind turbin,Pro Media
9,busi park,Pro Media
1,offshor wind,Pro Media
5,energiø bornholm,Pro Media
9,busi park,Pro Media
5,energiø bornholm,Pro Media
8,wind farm,Pro Media
2,social democraci,Pro Media
4,green transit,Pro Media
6,wind turbin,Pro Media
3,baltic sea,Pro Media
6,wind turbin,Pro Media
3,baltic sea,Pro Media
6,wind turbin,Pro Media
7,municip council,Reg Media
4,green transit,Reg Media
6,wind turbin,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
1,offshor wind,Reg Media
3,baltic sea,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
3,baltic sea,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
5,energiø bornholm,Reg Media
0,energi island,Reg Media
5,energiø bornholm,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
5,energiø bornholm,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
1,offshor wind,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
5,energiø bornholm,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
6,wind turbin,Reg Media
0,energi island,Reg Media
3,baltic sea,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
6,wind turbin,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
2,social democraci,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
3,baltic sea,Reg Media
4,green transit,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
9,busi park,Reg Media
6,wind turbin,Reg Media
8,wind farm,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
7,municip council,Reg Media
5,energiø bornholm,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
4,green transit,Reg Media
1,offshor wind,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
9,busi park,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
3,baltic sea,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
6,wind turbin,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
1,offshor wind,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
6,wind turbin,Reg Media
6,wind turbin,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
1,offshor wind,Reg Media
6,wind turbin,Reg Media
7,municip council,Reg Media
8,wind farm,Reg Media
4,green transit,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
9,busi park,Reg Media
1,offshor wind,Reg Media
3,baltic sea,Reg Media
5,energiø bornholm,Reg Media
6,wind turbin,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
0,energi island,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
6,wind turbin,Reg Media
6,wind turbin,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
9,busi park,Reg Media
0,energi island,Reg Media
3,baltic sea,Reg Media
5,energiø bornholm,Reg Media
3,baltic sea,Reg Media
7,municip council,Reg Media
8,wind farm,Reg Media
5,energiø bornholm,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
3,baltic sea,Reg Media
1,offshor wind,Reg Media
3,baltic sea,Reg Media
7,municip council,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
8,wind farm,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
7,municip council,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
9,busi park,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
2,social democraci,Reg Media
3,baltic sea,Reg Media
4,green transit,Reg Media
5,energiø bornholm,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
6,wind turbin,Reg Media
9,busi park,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
4,green transit,Reg Media
9,busi park,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
7,municip council,Reg Media
6,wind turbin,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
3,baltic sea,Reg Media
3,baltic sea,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
4,green transit,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
7,municip council,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
0,energi island,Reg Media
8,wind farm,Reg Media
4,green transit,Reg Media
2,social democraci,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
5,energiø bornholm,Reg Media
7,municip council,Reg Media
5,energiø bornholm,Reg Media
8,wind farm,Reg Media
5,energiø bornholm,Reg Media
6,wind turbin,Reg Media
6,wind turbin,Reg Media
9,busi park,Reg Media
6,wind turbin,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
0,energi island,Reg Media
3,baltic sea,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
3,baltic sea,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
3,baltic sea,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
3,baltic sea,Reg Media
1,offshor wind,Reg Media
8,wind farm,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
9,busi park,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
3,baltic sea,Reg Media
7,municip council,Reg Media
4,green transit,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
6,wind turbin,Reg Media
5,energiø bornholm,Reg Media
3,baltic sea,Reg Media
2,social democraci,Reg Media
8,wind farm,Reg Media
3,baltic sea,Reg Media
7,municip council,Reg Media
6,wind turbin,Reg Media
3,baltic sea,Reg Media
4,green transit,Reg Media
2,social democraci,Reg Media
6,wind turbin,Reg Media
9,busi park,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
2,social democraci,Reg Media
8,wind farm,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
6,wind turbin,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
9,busi park,Reg Media
2,social democraci,Reg Media
7,municip council,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
9,busi park,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
5,energiø bornholm,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
8,wind farm,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
8,wind farm,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
6,wind turbin,Reg Media
5,energiø bornholm,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
8,wind farm,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
6,wind turbin,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
5,energiø bornholm,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
2,social democraci,Reg Media
3,baltic sea,Reg Media
3,baltic sea,Reg Media
1,offshor wind,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
6,wind turbin,Reg Media
0,energi island,Reg Media
7,municip council,Reg Media
6,wind turbin,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
6,wind turbin,Reg Media
2,social democraci,Reg Media
4,green transit,Reg Media
5,energiø bornholm,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
5,energiø bornholm,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
7,municip council,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
2,social democraci,Reg Media
7,municip council,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
1,offshor wind,Reg Media
3,baltic sea,Reg Media
1,offshor wind,Reg Media
0,energi island,Reg Media
3,baltic sea,Reg Media
2,social democraci,Reg Media
6,wind turbin,Reg Media
6,wind turbin,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
2,social democraci,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
7,municip council,Reg Media
4,green transit,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
8,wind farm,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
3,baltic sea,Reg Media
3,baltic sea,Reg Media
0,energi island,Reg Media
3,baltic sea,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
1,offshor wind,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
2,social democraci,Reg Media
0,energi island,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
2,social democraci,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
4,green transit,Reg Media
8,wind farm,Reg Media
0,energi island,Reg Media
7,municip council,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
8,wind farm,Reg Media
9,busi park,Reg Media
0,energi island,Reg Media
9,busi park,Reg Media
0,energi island,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
5,energiø bornholm,Reg Media
5,energiø bornholm,Reg Media
6,wind turbin,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
9,busi park,Reg Media
2,social democraci,Reg Media
4,green transit,Reg Media
2,social democraci,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
5,energiø bornholm,Reg Media
9,busi park,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
8,wind farm,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
7,municip council,Reg Media
3,baltic sea,Reg Media
1,offshor wind,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
7,municip council,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
2,social democraci,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
9,busi park,Reg Media
9,busi park,Reg Media
3,baltic sea,Reg Media
9,busi park,Reg Media
6,wind turbin,Reg Media
9,busi park,Reg Media
4,green transit,Reg Media
3,baltic sea,Reg Media
1,offshor wind,Reg Media
9,busi park,Reg Media
8,wind farm,Reg Media
9,busi park,Reg Media
7,municip council,Reg Media
8,wind farm,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
7,municip council,Reg Media
4,green transit,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
5,energiø bornholm,Reg Media
4,green transit,Reg Media
2,social democraci,Reg Media
5,energiø bornholm,Reg Media
9,busi park,Reg Media
0,energi island,Reg Media
8,wind farm,Reg Media
5,energiø bornholm,Reg Media
1,offshor wind,Reg Media
7,municip council,Reg Media
1,offshor wind,Reg Media
3,baltic sea,Reg Media
2,social democraci,Reg Media
6,wind turbin,Reg Media
8,wind farm,Reg Media
2,social democraci,Reg Media
1,offshor wind,Reg Media
0,energi island,Reg Media
8,wind farm,Reg Media
2,social democraci,Reg Media
4,green transit,Reg Media
